p1,p2,rank,fs,w1sp,w2sp,wsp,wrp,tpw,aces,df,bpc,bps,bpo,bpw,tmw,complete,serveadv,h2h,fatigue,uncertainty,winner,tourney_id,year,p1_odd,p2_odd
Pierre Hugues Herbert,Tennys Sandgren,34.0,-0.028104845429571926,0.0005248159461043178,-0.011547724482202535,-0.013206591752029206,-0.031248912427066733,-0.017285167217902575,-0.061537032004457926,0.105530535403464,0.0275976573348643,-0.07222194845794905,-0.1552276208660348,-0.030769464041023487,-0.042857142857142816,-0.0245,-0.04445550417909594,0.0,0.0,0.03579259293728065,0,92.0,2020,1.53,2.37
James Duckworth,Jannik Sinner,51.0,-0.0629374457327253,0.05942111687183915,-0.02724348813830918,0.0067660642051178286,-0.09612886697156936,-0.03495674330021165,0.4229244553986116,0.14523029366035692,-0.05247991969765098,-0.0006407357153626059,-0.2297375101799408,-0.10036213490371272,-0.2857142857142857,-0.0556,-0.08936280276645152,0.0,0.0,0.4025335526207317,1,92.0,2020,6.0,1.12
Jan Lennard Struff,Marco Cecchinato,-45.0,-0.10143413843755113,0.08855366416360788,-0.00962778555246141,0.02493067004699789,0.0333920475368078,0.02543851189321905,0.24808411796785226,0.08680174478177127,-0.03312913757032687,0.0664252439301023,0.04617641140895423,0.08625444744989258,0.12635658914728687,0.0295,0.0583227175838057,0.0,0.0,0.037166311186977725,0,92.0,2020,1.16,5.0
Kyle Edmund,Yoshihito Nishioka,-9.0,-0.04546749233195335,0.09512930311458913,-0.0013601839295374065,0.053472089286781266,-0.004118786883836156,0.025703041452031502,0.3364056441878446,0.03484921458630905,-0.1821169479685965,0.10782959509493273,-0.03865518601150242,0.034926171304896,0.0815173527037934,0.017,0.04935330240294511,0.0,0.0,0.023921464901061302,1,92.0,2020,1.5,2.5
Marin Cilic,Steve Johnson,-31.0,-0.01719224316628376,0.049889960694151414,0.011107190420239664,0.029719419442566505,0.0333229638078279,0.02551122793765604,0.1547036630853853,0.009303366421183151,-0.0967000457445436,0.009523818194260736,0.11891418121404225,0.013252224140269664,0.14513677811550152,0.033,0.06304238325039441,1.0,0.0,0.010909429009643222,1,92.0,2020,1.36,3.0
John Millman,Adrian Mannarino,6.0,0.002128914103089685,-0.005669280372367913,0.016009702863979958,0.0035628239788927365,0.0056936228271075575,0.0058407046982826855,-0.04778621559030849,-0.05388357434860447,-0.029640670032225813,-0.025307384697481842,-0.012575942380035898,0.01339782530869077,0.019111111111111082,0.0049,0.009256446806000296,1.0,0.6566,0.016219122885785288,0,93.0,2020,2.2,1.61
John Millman,Frances Tiafoe,-19.0,-0.011710873801383135,-0.034614876237535674,-0.008575405747070164,-0.02491477959245525,0.01309502506643362,-0.003223711511397609,-0.2225966694130614,-0.05350031207484693,0.0871778437638695,0.011954092717155529,0.012902963228061837,0.05303439708695723,-0.04404761904761895,-0.0006,-0.011819754526021627,0.3333,-0.1654,0.02737951505007626,0,93.0,2020,2.2,1.61
Tommy Paul,John Millman,14.0,0.017952701336575002,0.020505903625260842,-0.009885533744630193,0.009862923212252128,-0.02570451813587093,-0.005785360198555245,0.11507526503952105,-0.010287381068326329,0.056535927482474164,0.08570657789727565,-0.0684972554269973,-0.05651236698923684,-0.05862068965517243,-0.0128,-0.01584159492361881,0.0,0.3214,0.05385507155135515,1,93.0,2020,1.95,1.8
Frances Tiafoe,Egor Gerasimov,-19.0,-0.035520938625496434,-0.025018043660280043,-0.008244964836758741,-0.028793162277932164,-0.006413194024525115,-0.020050130606742544,-0.1635574485289365,-0.02684190724456595,0.08894117420075831,-0.15422867468448198,0.010157155980383636,0.008687819942277242,-0.2631578947368421,-0.0133,-0.03520635630245728,0.0,-0.2165,0.05978695411545457,0,93.0,2020,1.61,2.2
Mikhail Kukushkin,Benoit Paire,63.0,0.10360829189639698,-0.1034053539677744,0.06078880764133698,-0.010387526133366907,-0.012164582692217929,-0.01124677273572705,-0.4584935125257874,-0.32413840669648675,0.0677873213316087,0.004900962822625865,-0.027450169902451086,-0.04440316152381008,-0.09088888888888884,-0.0112,-0.02255210882558484,0.0,1.0,0.016047563943356637,0,93.0,2020,1.36,3.0
Emil Ruusuvuori,Jordan Thompson,38.0,-0.02593733317397906,-0.0051718222286945,-0.006921496318790078,-0.013647712149058688,0.019885039367871338,-0.0004184891382044143,0.0942636448518801,0.2654265342500637,0.022545624310330137,-0.008225108225108245,0.11436041083099906,-0.1421212121212121,-0.2,0.0072,0.006237327218812649,0.0,-1.0,0.43258582502768544,0,93.0,2020,1.36,3.0
Tommy Paul,Radu Albot,-26.0,-0.018610743827273568,0.024908054529214636,0.05233536437494008,0.033299520742252516,-0.041698625933342726,-0.002014158441067837,0.12563342874522224,-0.09869463886578296,0.03647720534221255,0.19083875217995427,-0.2037790218263671,-0.05608563204595951,-0.023148148148148084,-0.0128,-0.008399105191090217,0.0,-0.1765,0.10117034528819197,0,93.0,2020,1.4,2.75
John Millman,Fernando Verdasco,-16.0,-0.022608812434522063,-0.043575162873370384,0.011840977056304602,-0.025993702222181447,0.0014998631869486134,-0.00888223418916001,-0.1984304158030633,-0.143997653047674,0.053051332888796036,-0.05227902456827693,-0.04762522093057042,0.04002922978419465,0.012096774193548376,-0.0086,-0.02449383903523284,-1.0,-1.0,0.018559083655473447,0,93.0,2020,1.44,2.62
Egor Gerasimov,Jiri Vesely,17.0,0.03814504024019183,0.0391467170740083,0.025288644396555315,0.04282200398088787,0.026561210805385205,0.03000852433228085,0.2292512411273985,-0.06201184602679774,-0.0963048748245463,0.1098346564908288,0.07254498829046098,-0.04862249894329207,0.21354166666666669,0.0322,0.06938321478627307,-1.0,0.1538,0.1383240839891444,0,93.0,2020,1.61,2.2
